Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MCMA535	Extraction	50 µl water	none	MCMA535	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1053_P		Data transformation	MCMA535	FILES/1053_P.mzML	Metabolite identification	MCMA535	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA537	Extraction	50 µl water	none	MCMA537	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1054_P		Data transformation	MCMA537	FILES/1054_P.mzML	Metabolite identification	MCMA537	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA538	Extraction	50 µl water	none	MCMA538	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1055_P		Data transformation	MCMA538	FILES/1055_P.mzML	Metabolite identification	MCMA538	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA550	Extraction	50 µl water	none	MCMA550	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1056_P		Data transformation	MCMA550	FILES/1056_P.mzML	Metabolite identification	MCMA550	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA557	Extraction	50 µl water	none	MCMA557	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1057_P		Data transformation	MCMA557	FILES/1057_P.mzML	Metabolite identification	MCMA557	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA560	Extraction	50 µl water	none	MCMA560	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1058_P		Data transformation	MCMA560	FILES/1058_P.mzML	Metabolite identification	MCMA560	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA562	Extraction	50 µl water	none	MCMA562	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1059_P		Data transformation	MCMA562	FILES/1059_P.mzML	Metabolite identification	MCMA562	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA564	Extraction	50 µl water	none	MCMA564	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1060_P		Data transformation	MCMA564	FILES/1060_P.mzML	Metabolite identification	MCMA564	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA565	Extraction	50 µl water	none	MCMA565	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1061_P		Data transformation	MCMA565	FILES/1061_P.mzML	Metabolite identification	MCMA565	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA566	Extraction	50 µl water	none	MCMA566	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1062_P		Data transformation	MCMA566	FILES/1062_P.mzML	Metabolite identification	MCMA566	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MURB082	Extraction	50 µl water	none	MURB082	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1064_P		Data transformation	MURB082	FILES/1064_P.mzML	Metabolite identification	MURB082	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MURB085	Extraction	50 µl water	none	MURB085	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1065_P		Data transformation	MURB085	FILES/1065_P.mzML	Metabolite identification	MURB085	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MURB088	Extraction	50 µl water	none	MURB088	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1066_P		Data transformation	MURB088	FILES/1066_P.mzML	Metabolite identification	MURB088	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MURB092	Extraction	50 µl water	none	MURB092	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1067_P		Data transformation	MURB092	FILES/1067_P.mzML	Metabolite identification	MURB092	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MURB095	Extraction	50 µl water	none	MURB095	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1068_P		Data transformation	MURB095	FILES/1068_P.mzML	Metabolite identification	MURB095	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
